"YEAR","DATA_VALUE","LOWER_95_CI","UPPER_95_CI","CATEGORY","INDICATOR_TYPE","INDICATOR_NAME","INDICATOR_UNITS","SPECIES","REGION"
2001,2497,0,7488,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2004,1603,0,4415,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2007,4863,0,14377,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
2008,197,0,574,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLACKTIP SHARK","MID-ATLANTIC"
1981,3664,0,8934,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1983,8335,0,22108,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1984,456,0,1364,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1985,12082,0,27166,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1986,19726,0,40217,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1987,38981,0,87344,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1988,10997,0,24145,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1989,6135,0,14204,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1990,1445,0,2937,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1991,869,0,1927,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1992,8831,419,17244,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1993,4442,106,8778,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1994,1011,0,2683,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1996,27262,0,62315,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1997,15570,2478,28663,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1998,10403,0,21351,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1999,13052,0,27916,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2000,10503,0,25079,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2001,1589,0,3882,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2003,1038,0,2577,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2007,2350,0,6873,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2008,228,0,679,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2010,1220,986,1454,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2013,3812,0,14535,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
2015,34363,0,94844,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","MID-ATLANTIC"
1981,1683,0,5081,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1983,6192,0,17054,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1984,159,0,473,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1986,2369,0,5461,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1987,735,0,2134,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1988,2123,0,4342,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1989,1178,0,2520,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1990,16,0,47,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1991,1122,0,2412,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1992,206,0,463,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1993,4324,0,12433,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1994,258,0,760,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1995,285,0,865,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1996,420,0,1190,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1997,328,0,844,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1998,387,0,1067,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1999,1443,0,3095,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2000,259,0,760,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2003,46,0,139,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2005,176,0,483,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2006,569,0,1693,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2010,221,0,646,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2013,293,0,868,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2014,3639,1471,5807,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2017,179,0,466,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2018,3368,0,9605,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2019,14,0,42,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2021,108,0,335,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
2023,24,0,72,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BLUE SHARK","NORTH ATLANTIC"
1981,156,0,464,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1982,5828,0,16612,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1992,5034,0,15010,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2011,2123,0,6101,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2013,140,0,411,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
2017,3750,0,11131,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","BULL SHARK","MID-ATLANTIC"
1981,3673,0,9532,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1982,10743,0,24009,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1983,3738,0,8010,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1984,20986,0,48216,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1985,14440,0,31365,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1986,15691,3758,27624,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1987,11889,1939,21839,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1988,17521,0,41216,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1989,11052,3665,18439,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1990,6483,0,13256,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1991,3575,0,7625,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1992,6385,53,12717,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1994,6781,0,13786,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1995,8614,0,17715,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1996,1147,0,2526,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1997,8266,0,20012,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1998,3831,0,8352,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1999,19373,0,45574,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2001,6492,0,14418,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2002,3945,0,11553,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2003,2798,0,6850,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2005,5857,0,16189,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
2008,5710,0,17239,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","MID-ATLANTIC"
1991,297,0,819,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","NORTH ATLANTIC"
2023,171,0,510,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","DUSKY SHARK","NORTH ATLANTIC"
1986,21211,0,42912,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","FINETOOTH SHARK","MID-ATLANTIC"
1988,58781,0,164313,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","FINETOOTH SHARK","MID-ATLANTIC"
1982,30,0,90,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1986,74,0,219,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1989,2934,0,8593,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1994,3534,0,10476,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","GREAT HAMMERHEAD","MID-ATLANTIC"
1981,851,0,2510,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","LEMON SHARK","MID-ATLANTIC"
1987,1038,0,2702,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","LEMON SHARK","MID-ATLANTIC"
1986,1363,0,3315,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","NURSE SHARK","MID-ATLANTIC"
1987,640,0,1902,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","NURSE SHARK","MID-ATLANTIC"
1989,18,0,55,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","OCEANIC WHITETIP SHARK","MID-ATLANTIC"
1994,301,0,782,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2011,32,0,87,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2017,358,0,870,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2019,37,0,90,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2020,460,0,1355,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2021,174,0,461,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2023,186,0,400,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
2024,214,0,620,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","PORBEAGLE","NORTH ATLANTIC"
1981,25029,0,56623,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1982,47680,15813,79548,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1983,93911,17340,170482,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1985,15454,0,31386,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1986,1771,0,5242,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1987,14890,2049,27731,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1988,938,0,2104,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1989,1315,0,3074,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1993,3232,0,8369,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1995,628,0,1896,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1996,200,0,596,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","MID-ATLANTIC"
1984,658,0,1724,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","NORTH ATLANTIC"
1987,257,0,770,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","NORTH ATLANTIC"
1997,1402,0,4174,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","NORTH ATLANTIC"
2018,3204,0,9333,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SAND TIGER","NORTH ATLANTIC"
1981,25006,0,70391,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1982,20049,4409,35689,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1983,195379,4674,386084,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1984,9893,2525,17261,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1985,35552,12487,58617,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1986,101968,0,234074,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1987,7579,0,15199,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1988,25522,961,50083,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1989,5316,0,11223,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1990,25509,11710,39308,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1991,15117,4362,25873,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1992,64043,4293,123792,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1993,22257,6727,37787,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1994,12274,4624,19924,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1995,22693,10284,35103,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1996,12931,5251,20610,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1997,27334,14529,40138,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1998,28829,5888,51771,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1999,17048,3181,30915,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2000,13155,0,33730,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2001,34032,10019,58044,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2002,9922,704,19141,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2003,4236,425,8047,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2004,2733,0,6488,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2005,999,0,2795,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2006,7,0,21,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2007,3138,0,9201,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2008,4838,0,9844,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2009,14697,0,31692,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2010,3735,0,7857,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2012,998,0,2982,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2013,810,0,1898,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2014,992,0,2928,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2017,1907,0,5069,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2019,792,0,1939,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
2020,237,0,704,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","MID-ATLANTIC"
1983,2238,0,6668,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","NORTH ATLANTIC"
1987,801,0,2166,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","NORTH ATLANTIC"
1992,160,0,473,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","NORTH ATLANTIC"
1999,983,0,2920,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SANDBAR SHARK","NORTH ATLANTIC"
2009,12,0,38,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SCALLOPED HAMMERHEAD SHARK","MID-ATLANTIC"
1981,9707,0,26774,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1982,17981,0,36343,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1983,10685,0,27438,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1984,48135,0,119554,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1985,30865,6001,55729,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1986,31219,12067,50372,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1987,39021,4452,73590,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1988,21603,2295,40912,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1989,10797,4004,17591,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1990,8357,3525,13188,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1991,2241,0,4867,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1992,13789,2816,24762,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1993,21350,10261,32439,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1994,4096,0,8905,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1995,43936,13107,74766,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1996,15405,3267,27543,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1997,4417,0,9621,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1998,11685,1493,21877,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
1999,2474,0,5806,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2000,17370,0,38547,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2001,4252,0,9177,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2002,8909,1051,16767,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2003,9727,0,21337,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2004,6826,0,19175,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
2006,12460,0,34245,"Recreational","Socioeconomic","total_recreational_hms_landings_n","n","SHORTFIN MAKO","MID-ATLANTIC"
